"id","activity","HU","MHC","HC50","LD50","EC50","LC50","IC50","NH"
"1001","LD50 = 1.4±0.2μM","NA","NA","NA","LD50 = 1.4±0.2μM","NA","NA","NA","NA"
"1002","LD50 = 1.2±0.1μM","NA","NA","NA","LD50 = 1.2±0.1μM","NA","NA","NA","NA"
"1003","LD50 = 2.3±0.3μM","NA","NA","NA","LD50 = 2.3±0.3μM","NA","NA","NA","NA"
"1004","LD50 = 5±1μM","NA","NA","NA","LD50 = 5±1μM","NA","NA","NA","NA"
"1005","LD50 = 1.2±0.4μM","NA","NA","NA","LD50 = 1.2±0.4μM","NA","NA","NA","NA"
"1006","LD50 = 2±0.1μM","NA","NA","NA","LD50 = 2±0.1μM","NA","NA","NA","NA"
"1007","LD50 = 0.5±0.1μM","NA","NA","NA","LD50 = 0.5±0.1μM","NA","NA","NA","NA"
"1008","LD50 = 5±1μM","NA","NA","NA","LD50 = 5±1μM","NA","NA","NA","NA"
"1009","LD50 = 23±1μM","NA","NA","NA","LD50 = 23±1μM","NA","NA","NA","NA"
"1010","LD50 = 100μM","NA","NA","NA","LD50 = 100μM","NA","NA","NA","NA"
"1011","LD50 = >80μM","NA","NA","NA","LD50 = >80μM","NA","NA","NA","NA"
"1012","LD50 = 16.5±0.5μM","NA","NA","NA","LD50 = 16.5±0.5μM","NA","NA","NA","NA"
"1013","LD50 = 24±1μM","NA","NA","NA","LD50 = 24±1μM","NA","NA","NA","NA"
"1014","LD50 = 40μM","NA","NA","NA","LD50 = 40μM","NA","NA","NA","NA"
"1015","LD50 = 57±3μM","NA","NA","NA","LD50 = 57±3μM","NA","NA","NA","NA"
"1016","LD50 = 10±0.5μM","NA","NA","NA","LD50 = 10±0.5μM","NA","NA","NA","NA"
"1017","LD50 = 20±1μM","NA","NA","NA","LD50 = 20±1μM","NA","NA","NA","NA"
"1018","LD50 = 57±3μM","NA","NA","NA","LD50 = 57±3μM","NA","NA","NA","NA"
"1019","LD50 = >100μM","NA","NA","NA","LD50 = >100μM","NA","NA","NA","NA"
"1020","EC50 = 10 μg/ml","NA","NA","NA","NA","EC50 = 10 μg/ml","NA","NA","NA"
"1021","EC50 = 40 μg/ml","NA","NA","NA","NA","EC50 = 40 μg/ml","NA","NA","NA"
"1022","<15% hemolysis at 500μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1023","<15% hemolysis at 500μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1024","<15% hemolysis at 500μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1025","EC50 = 0.66μM","NA","NA","NA","NA","EC50 = 0.66μM","NA","NA","NA"
"1026","EC50 = 0.35μM","NA","NA","NA","NA","EC50 = 0.35μM","NA","NA","NA"
"1027","EC50 = 1.2μM","NA","NA","NA","NA","EC50 = 1.2μM","NA","NA","NA"
"1028","EC50 = 0.12μM","NA","NA","NA","NA","EC50 = 0.12μM","NA","NA","NA"
"1029","EC50 = 0.04μM","NA","NA","NA","NA","EC50 = 0.04μM","NA","NA","NA"
"1030","HC50 = >200μg/ml","NA","NA","HC50 = >200μg/ml","NA","NA","NA","NA","NA"
"1031","HC50 = >200μg/ml","NA","NA","HC50 = >200μg/ml","NA","NA","NA","NA","NA"
"1032","HC50 = >200μg/ml","NA","NA","HC50 = >200μg/ml","NA","NA","NA","NA","NA"
"1033","HC50 = >200μg/ml","NA","NA","HC50 = >200μg/ml","NA","NA","NA","NA","NA"
"1034","HC50 = >200μg/ml","NA","NA","HC50 = >200μg/ml","NA","NA","NA","NA","NA"
"1035","HC50 = >200μg/ml","NA","NA","HC50 = >200μg/ml","NA","NA","NA","NA","NA"
"1036","HC50 = >200μg/ml","NA","NA","HC50 = >200μg/ml","NA","NA","NA","NA","NA"
"1037","HC50 = >200μg/ml","NA","NA","HC50 = >200μg/ml","NA","NA","NA","NA","NA"
"1038","100% hemolysis at 100μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1039","0% hemolysis at 100μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1040","0% hemolysis at 100μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1041","0% hemolysis at 100μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1042","100% hemolysis at 21.3μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1043","100% hemolysis at 42.6μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1044","100% hemolysis at 85μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1045","100% hemolysis at 85μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1046","60.8% hemolysis at 100μM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","60.8% hemolysis at 100μM (non-hemolytic)"
"1047","0% hemolysis at 100μM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100μM (non-hemolytic)"
"1048","50.40% hemolysis at 100μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1049","0% hemolysis at 100μM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100μM (non-hemolytic)"
"1050","0% hemolysis at 100μM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100μM (non-hemolytic)"
"1051","50% hemolysis at >300μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1052","HC50 = >200μM","NA","NA","HC50 = >200μM","NA","NA","NA","NA","NA"
"1053","LD50 = >400μM","NA","NA","NA","LD50 = >400μM","NA","NA","NA","NA"
"1054","LD50 = 12μM","NA","NA","NA","LD50 = 12μM","NA","NA","NA","NA"
"1055","LD50 = >100μM","NA","NA","NA","LD50 = >100μM","NA","NA","NA","NA"
"1056","LD50 = 27.3μM","NA","NA","NA","LD50 = 27.3μM","NA","NA","NA","NA"
"1057","LD50 = 22.9μM","NA","NA","NA","LD50 = 22.9μM","NA","NA","NA","NA"
"1058","LD50 = 29.7μM","NA","NA","NA","LD50 = 29.7μM","NA","NA","NA","NA"
"1059","LD50 = 41.4μM","NA","NA","NA","LD50 = 41.4μM","NA","NA","NA","NA"
"1060","LD50 = >100μM","NA","NA","NA","LD50 = >100μM","NA","NA","NA","NA"
"1061","LD50 = >100μM","NA","NA","NA","LD50 = >100μM","NA","NA","NA","NA"
"1062","LD50 = >100μM","NA","NA","NA","LD50 = >100μM","NA","NA","NA","NA"
"1063","LD50 = >100μM","NA","NA","NA","LD50 = >100μM","NA","NA","NA","NA"
"1064","LD50 = >100μM","NA","NA","NA","LD50 = >100μM","NA","NA","NA","NA"
"1065","LD50 = >100μM","NA","NA","NA","LD50 = >100μM","NA","NA","NA","NA"
"1066","LD50 = >100μM","NA","NA","NA","LD50 = >100μM","NA","NA","NA","NA"
"1067","0.01% hemolysis at 100μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1068","0.01% hemolysis at 100μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1069","LD50 = 90μM","NA","NA","NA","LD50 = 90μM","NA","NA","NA","NA"
"1070","LD50 = 14μM","NA","NA","NA","LD50 = 14μM","NA","NA","NA","NA"
"1071","LD50 = 10μM","NA","NA","NA","LD50 = 10μM","NA","NA","NA","NA"
"1072","1.92% hemolysis at 80μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1073","3.40% hemolysis at 80μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1074","2.36% hemolysis at 80μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1075","HC50 = 100μM","NA","NA","HC50 = 100μM","NA","NA","NA","NA","NA"
"1076","80% hemolysis at 1μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1077","50% hemolysis at 8900μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1078","50% hemolysis at 3700μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1079","50% hemolysis at 2100μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1080","50% hemolysis at 100μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1081","50% hemolysis at 76μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1082","MHC = 250μg/ml","NA","MHC = 250μg/ml","NA","NA","NA","NA","NA","NA"
"1083","MHC = 1000 μg/ml","NA","MHC = 1000 μg/ml","NA","NA","NA","NA","NA","NA"
"1084","MHC = 1000μg/ml","NA","MHC = 1000μg/ml","NA","NA","NA","NA","NA","NA"
"1085","MHC = 62.5μg/ml","NA","MHC = 62.5μg/ml","NA","NA","NA","NA","NA","NA"
"1086","MHC = 31.3μg/ml","NA","MHC = 31.3μg/ml","NA","NA","NA","NA","NA","NA"
